"location","latitude","longitude"
"watgunge street",22.5535048,88.3565745
"mukherjee road",22.5711836,88.3510374
"atm road",22.5016256,88.3531029
"ganguly sarani",22.5398211,88.3495331
"hrs road",22.56468,88.386429
"point crossing",22.5429764,88.3658848
"roy road",22.506576,88.3288393
"behari avenue",22.5210149,88.3706328
"gariahat road",22.5157428,88.3668023
"chowdhury avenue",22.5332454,88.3645628
"amir ali avenue",22.538784,88.3652569
"rajabazar crossing",22.5616149,88.3660934
"park jadubabu bazar",22.5817406,88.3543972
"auddy road",22.5151097,88.3365177
"tollygunge road",22.5106818,88.3415485
"pratapaditya road",22.5132998,88.3445647
"mudiali road",22.5457782,88.282847
"temple road",22.5206996,88.3433953
"kalighat road",22.5238922,88.3419339
"dilkhusha street",22.5398318,88.3697284
" bright street",22.5370408,88.3688454
"402 block",22.5764388,88.4336816
"kabir sarani",22.5150278,88.3277337
"roy rd",22.4880596,88.3169496
"sahapur road",22.5050303,88.3247866
"basu rd",22.5339336,88.3393969
"ibrahim rd",22.5366278,88.3251209
"khidderpore rd",22.54206,88.3189579
"gate road",22.6122351,88.374177
"148 akra road",22.5444504,88.2701044
" akra road",22.5424593,88.2652948
"phears’ lane crossing",22.5744747,88.3577583
"cathedral rd",22.5446792,88.3461554
"hazra crossing",22.5244718,88.3529036
"mayo road",22.5595976,88.3486517
"hogg street",22.5615609,88.3533449
" market street",22.5604246,88.3552807
"collin street",22.5561778,88.3564528
"k road",22.6074323,88.3220563
"mallick bazar",22.5474757,88.3591439
"y road",22.5459733,88.2743301
"lenin sarani",22.562807,88.3592526
"hrs street",22.572646,88.363895
"corner meeting crossing",22.572646,88.363895
"dey street",22.5875061,88.3612844
"zakaria street",22.5771603,88.3579762
"circular road",22.527928,88.3604083
"theater road",22.5446879,88.3560408
"smith lane",22.5591729,88.3589554
"taltala lane",22.5592918,88.3596109
"h road",22.7618688,88.3740376
"heastings crossing",22.5487295,88.3360765
"demonstration street",22.572646,88.363895
"place road",22.5736711,88.3455579
"phears lane crossing",22.5744747,88.3577583
"cathedral road",22.5446792,88.3461554
"bekar road",22.572646,88.363895
"dufferin road",22.5591679,88.3476981
"outram road",22.5551973,88.3472933
